company_id,company_name,location,company_details
cid_90,蚂蚁集团,蚂蚁集团全球总部,蚂蚁集团起步于2004年诞生的支付宝，源于一份为社会解决信任问题的初心，经过多年的发展，已成为世界领先的互联网开放平台。蚂蚁集团通过科技创新，助力合作伙伴，为消费者和小微企业提供普惠便捷的数字生活及数字金融服务；持续开放产品与技术，助力企业的数字化升级与协作；在全球广泛合作，服务当地商家和消费者实现“全球收”、“全球付”和“全球汇”。 2013年3月支付宝的母公司宣布将以其为主体筹建小微金融服务集团，小微金融成为蚂蚁金服的前身。2020年7月蚂蚁金服正式更名为蚂蚁集团 2024年3月，华为自研的鸿蒙操作系统与蚂蚁数科、阿里云合作开发的实人认证产品完成适配；4月20日，蚂蚁集团发布PB级实时分析数据库。5月27日，蚂蚁首次公布AI应用矩阵。12月23日，蚂蚁集团宣布成立支付宝事业群、数字支付事业群。
cid_100,MiniMax,蓟门壹号,成立于2021年12月，MiniMax是通用人工智能时代基础设施建设者和内容应用创造者。作为国内唯一一家拥有文本、语音、视觉多种模态融合的通用大模型引擎能力并打通产品全链路的科技创业公司，团队致力于用领先的通用人工智能（AGI）引擎技术，通过多场景和多维度应用及交互，推动通用人工智能技术新范式变革，重塑人工智能商业模式。 以技术和产品为核心驱动力，MiniMax自研了整套端到端AGI引擎系统。核心技术研发成员均来自全球知名高校和全球顶尖科技公司，拥有世界顶尖自然语言处理，语音，计算机视觉，计算机图形学等工业界和学术界经验，拥有多项全球领先的人工智能领域研究成果，具有上百个全球发明专利，1/3 的团队成员拥有世界顶尖技术实验室的博士学位，团队核心成员皆亲历了海内外人工智能 1.0 时代的发展变化，对全球人工智能行业有着深刻的理解。 以“和用户共同创造通用智能 Intelligence with Everyone”为使命，公司首款自研产品在三个多月的时间里实现了数百万级注册量，以极度仿真的AI对话体验在用户中建立了良好的口碑。依托出色的技术研发实力和产品运营能力，MiniMax由全球顶级投资机构背书，是目前全球该领域成长最快的准独角兽。
cid_101,美图,北京航空航天大学(学院路校区)致真大厦C座,美图公司成立于2008年，是一家以美为内核，以人工智能为驱动的科技公司。秉承着“让艺术与科技美好交汇”的使命，美图公司致力于打造优秀的影像与设计产品，让图像、视频、设计的制作变得更简单，并通过美业解决方案助力产业数字化升级。 美图公司于2016年12月在香港联合交易所主板挂牌上市，股票代码：1357.HK。
cid_102,快手,快手总部,快手是领先的内容社区和社交平台，是短视频行业开创者与引领者。快手致力于创造一个温暖和信任的社区，让更多普通人拥有表达和被看见的机会，并由此培育了繁荣与高互动的社区生态，每天有上千万优质内容上传。
cid_103,深信服,深信服科技(北京总部),目前，深信服员工规模超过8000名，在全球设有70余个分支机构，公司先后被评为国家级高新技术企业、中国软件和信息技术服务综合竞争力百强企业、下一代互联网信息安全技术国家地方联合工程实验室、广东省智能云计算工程技术研究中心、国家知识产权示范企业等。 一直以来，深信服十分重视研发和创新，并坚持以“持续创新”的理念，全情投入为用户打造省心便捷的产品，获得了市场的广泛认可。目前，超过10万家企业级用户正在使用深信服的产品。 在网络安全深耕多年，深信服凭借丰富的网络安全保障经验，积极承担网络安全保障责任，多次承接国家级安全保障任务。从最早的“九三大阅兵”活动网络安全重点保障单位、青岛“上合峰会”网络安全保障及应急响应支持单位、广东“护城河”项目网络安全重点支撑单位、CNCERT优秀技术支撑单位、国家网络与信息安全信息通报机制技术支撑单位，到近年的上海“进博会”网络安全重点保障单位、2020年度广东省网络安全应急服务支撑工作优秀支撑单位、国信安全服务支撑单位、“新中国成立70周年庆祝活动” 网络安全保卫优秀技术支持单位、2023年第四届联合国世界数据论坛网络安全技术支撑保障单位、2023全国两会网络安全技术支撑保障单位、第三届“一带一路”国际合作高峰论坛网络安全技术支撑保障单位等，深信服始终冲在国家级安全保障的前线。
cid_104,科大讯飞,讯飞大厦,科大讯飞股份有限公司（002230.SZ）成立于1999年，是一家专业从事智能语音及语言技术、人工智能技术研究和软、硬件产品应用开发，为政府、教育、金融等领域提供信息化服务的国家级创新型企业。 科大讯飞语音合成、语音识别、口语评测、自然语言处理、机器翻译、麦克风阵列等智能语音与人工智能核心技术代表了全球最高水平。 科大讯飞同时为全行业2000多家企业提供语音核心技术，并在全球率先发布了基于全新语音交互技术的人工智能时代的人机交互界面——AIUI，占有中文语音主流市场70%以上市场份额，推动智能语音及人工智能技术深入应用到各行各业、飞入千家万户。
cid_105,晶泰科技XtalPi,东升大厦B座,晶泰科技(“公司”或“XtalPi Holdings Limited”，股份简称：晶泰控股，XTALPI，股份代号：2228. HK)由三位麻省理工学院的物理学家于2015年创立，是一个基于量子物理、以人工智能赋能和机器人驱动的创新型研发平台。公司采用基于量子物理的第一性原理计算、人工智能、高性能云计算以及可扩展及标准化的机器人自动化相结合的方式，为制药及材料科学(包括农业技术、能源及新型化学品以及化妆品)等产业的全球和国内公司提供药物及材料科学研发解决方案及服务。
cid_106,阶跃星辰,大恒科技大厦南座,阶跃星辰于2023年4月成立，以“智能阶跃，十倍每一个人的可能”为使命，是行业领先的通用大模型创业公司，坚定探索实现通用人工智能（AGI）的道路，已对外发布Step系列基座大模型矩阵。 阶跃AI是一个聪明可靠的个人效率助手，可以帮你获取知识、查询信息、学习语言、创意写作、编写代码，在工作、学习、生活等各种场景下帮你解决问题。带你发现和理解世界~
cid_107,字节 火山引擎,大钟寺广场1号楼,火山引擎是字节跳动旗下的云服务平台，火山引擎将字节跳动快速发展过程中积累的增长方法、技术能力和应用工具开放给外部企业，帮助企业构建体验创新、数据驱动和敏捷迭代等数字化能力。
cid_108,寒武纪,北京航空航天大学(学院路校区)致真大厦D座,寒武纪是全球智能芯片的先行者，成立于2016年，专注于人工智能芯片产品的研发与技术创新。寒武纪产品广泛服应用于服务器厂商和产业公司，面向互联网、金融、交通、能源、电力和制造等领域的复杂 AI 应用场景提供充裕算力，推动人工智能赋能产业升级，让机器更好地理解和服务人类。
